Plot 1 FLIR USB Video,,,,,,,,,,,
,,,,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value,Sp8.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1,1,1,1
Reflected temperature,,,,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,,31,285,284,166,34,120,31,287
Location Y,,,,115,74,119,115,68,114,175,178
Size X,,,,,,,,,,,
Size Y,,,,,,,,,,,
Surface (pixels),,,,,,,,,,,
,,,,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value,Sp8.Value
4/24/2018,12:37:48 PM,729,28.649,37.1169014,30.26241112,30.16672134,31.02515411,34.16713333,29.44654083,33.0510788,29.77116966
4/24/2018,12:37:49 PM,270,29.19,37.13949203,30.26241112,30.14278603,31.03703308,34.17870712,29.42245865,33.0510788,29.71112061
4/24/2018,12:37:49 PM,540,29.46,37.10560226,30.2265377,30.13081741,30.98951149,34.20184326,29.47061729,33.0627594,29.71112061
4/24/2018,12:37:49 PM,810,29.73,37.07170105,30.20261383,30.16672134,30.9776268,34.15555954,29.41041565,33.01603699,29.71112061
4/24/2018,12:37:50 PM,80,30,37.10560226,30.2265377,30.13081741,30.93008041,34.1902771,29.41041565,33.07443619,29.73514366
4/24/2018,12:37:50 PM,351,30.271,37.07170105,30.14278603,30.09490204,30.94196892,34.15555954,29.38632584,33.02771759,29.68709373
4/24/2018,12:37:50 PM,891,30.811,37.09430313,30.20261383,30.0829277,30.95385742,34.21341324,29.42245865,33.0627594,29.7591629
4/24/2018,12:37:51 PM,162,31.082,37.07170105,30.17868614,30.0829277,30.93008041,34.14398575,29.38632584,33.02771759,29.69910812
4/24/2018,12:37:51 PM,432,31.352,37.07170105,30.19065094,30.11884689,30.95385742,34.09768295,29.39837074,32.95760727,29.67507744
4/24/2018,12:37:51 PM,702,31.622,37.13949203,30.31022835,30.16672134,30.9776268,34.17870712,29.45858002,33.0627594,29.80718422
4/24/2018,12:37:51 PM,972,31.892,37.0603981,30.19065094,30.10687447,30.94196892,34.13241196,29.43449974,33.01603699,29.74715424
4/24/2018,12:37:52 PM,243,32.163,37.10560226,30.23849678,30.14278603,30.96574211,34.23654556,29.45858002,33.07443619,29.79518127
4/24/2018,12:37:52 PM,513,32.433,37.083004,30.23849678,30.13081741,30.96574211,34.1902771,29.43449974,33.03939819,29.7591629
4/24/2018,12:37:52 PM,783,32.703,37.07170105,30.19065094,30.05897522,30.94196892,34.17870712,29.41041565,33.03939819,29.71112061
4/24/2018,12:37:53 PM,324,33.244,37.07170105,30.14278603,30.14278603,30.89440918,34.12083817,29.38632584,33.0510788,29.69910812
4/24/2018,12:37:53 PM,594,33.514,37.13949203,30.19065094,30.11884689,30.91819191,34.2249794,29.41041565,33.02771759,29.66305923
4/24/2018,12:37:53 PM,864,33.784,37.21853638,30.26241112,30.14278603,31.03703308,34.27123642,29.50672531,33.14447784,29.7591629
4/24/2018,12:37:54 PM,135,34.055,37.15078735,30.27436829,30.15475464,31.01327515,34.24811172,29.47061729,33.12113571,29.79518127
4/24/2018,12:37:54 PM,405,34.325,37.15078735,30.27436829,30.14278603,31.01327515,34.23654556,29.45858002,33.08611298,29.77116966
4/24/2018,12:37:54 PM,675,34.595,37.16208267,30.2265377,30.13081741,31.01327515,34.2249794,29.48265457,33.09778976,29.77116966
4/24/2018,12:37:55 PM,216,35.136,37.12819672,30.16672134,30.11884689,30.98951149,34.12083817,29.43449974,33.0627594,29.71112061
4/24/2018,12:37:55 PM,486,35.406,37.10560226,30.2265377,30.09490204,30.98951149,34.23654556,29.47061729,33.0510788,29.72313309
4/24/2018,12:37:55 PM,756,35.676,37.1169014,30.19065094,30.10687447,31.02515411,34.20184326,29.43449974,33.03939819,29.73514366
4/24/2018,12:37:56 PM,26,35.946,37.1169014,30.21457672,30.16672134,31.02515411,34.23654556,29.47061729,33.02771759,29.78317642
4/24/2018,12:37:56 PM,297,36.217,37.12819672,30.25045395,30.15475464,31.01327515,34.17870712,29.43449974,33.03939819,29.79518127
4/24/2018,12:37:56 PM,837,36.757,37.12819672,30.27436829,30.20261383,31.01327515,34.2249794,29.47061729,33.09778976,29.79518127
