Plot 1 FLIR USB Video,,,,,,,,
,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1
Reflected temperature,,,,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,,36,282,283,166,34
Location Y,,,,115,58,113,116,58
Size X,,,,,,,,
Size Y,,,,,,,,
Surface (pixels),,,,,,,,
,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value
4/20/2018,11:04:25 AM,891,49.729,23.70710564,24.12413979,23.89686012,24.9410553,23.83364487
4/20/2018,11:04:26 AM,162,50,23.74508286,24.21240234,23.94740677,24.90348244,23.87157822
4/20/2018,11:04:26 AM,432,50.27,23.78304672,24.27540398,23.96004105,24.96609688,23.85893631
4/20/2018,11:04:26 AM,702,50.54,23.77039337,24.23760796,23.93477249,24.96609688,23.83364487
4/20/2018,11:04:26 AM,972,50.81,23.69444466,24.12413979,23.90950012,24.89095497,23.71976662
4/20/2018,11:04:27 AM,243,51.081,23.70710564,24.21240234,23.90950012,24.89095497,23.78304672
4/20/2018,11:04:27 AM,513,51.351,23.69444466,24.21240234,23.97267151,24.916008,23.82099724
4/20/2018,11:04:28 AM,54,51.892,23.68178177,24.19979858,23.92213631,24.87842751,23.79569817
4/20/2018,11:04:28 AM,324,52.162,23.73242569,24.19979858,23.94740677,24.916008,23.79569817
4/20/2018,11:04:28 AM,594,52.432,23.79569817,24.26280594,24.0484314,24.97861671,23.87157822
4/20/2018,11:04:28 AM,864,52.702,23.73242569,24.23760796,23.99793053,24.96609688,23.84629059
4/20/2018,11:04:29 AM,135,52.973,23.73242569,24.18719101,23.93477249,24.916008,23.84629059
4/20/2018,11:04:29 AM,405,53.243,23.77039337,24.19979858,23.94740677,24.96609688,23.79569817
4/20/2018,11:04:29 AM,675,53.513,23.73242569,24.21240234,23.94740677,25.01616478,23.85893631
4/20/2018,11:04:30 AM,216,54.054,23.79569817,24.23760796,23.97267151,25.01616478,23.92213631
4/20/2018,11:04:30 AM,486,54.324,23.74508286,24.2250061,23.99793053,25.01616478,23.90950012
4/20/2018,11:04:30 AM,756,54.594,23.85893631,24.26280594,24.02318382,25.07871819,23.92213631
4/20/2018,11:04:31 AM,27,54.865,23.94740677,24.41388321,24.08629227,25.09122467,24.06105423
4/20/2018,11:04:31 AM,297,55.135,23.87157822,24.33837128,24.08629227,25.04118919,23.97267151
4/20/2018,11:04:31 AM,567,55.405,23.82099724,24.27540398,24.0484314,25.01616478,23.92213631
4/20/2018,11:04:31 AM,837,55.675,23.83364487,24.27540398,24.02318382,25.04118919,23.88422012
4/20/2018,11:04:32 AM,108,55.946,23.98530197,24.36354637,24.13675308,25.11623192,24.06105423
4/20/2018,11:04:32 AM,648,56.486,23.84629059,24.32578087,24.03580856,25.04118919,23.93477249
4/20/2018,11:04:32 AM,918,56.756,23.80834961,24.32578087,24.02318382,25.02867889,23.85893631
4/20/2018,11:04:33 AM,189,57.027,23.88422012,24.35095978,24.06105423,25.10372925,23.96004105
4/20/2018,11:04:33 AM,459,57.297,23.85893631,24.31318855,24.07367325,25.06620979,23.96004105
4/20/2018,11:04:33 AM,729,57.567,23.83364487,24.31318855,24.01055908,25.04118919,23.98530197
4/20/2018,11:04:33 AM,999,57.837,23.87157822,24.31318855,24.01055908,25.04118919,23.98530197
4/20/2018,11:04:34 AM,540,58.378,23.87157822,24.23760796,23.97267151,25.04118919,23.92213631
4/20/2018,11:04:34 AM,810,58.648,23.84629059,24.27540398,23.98530197,25.01616478,23.94740677
4/20/2018,11:04:35 AM,81,58.919,23.85893631,24.30059433,24.01055908,25.0537014,24.01055908
4/20/2018,11:04:35 AM,351,59.189,23.96004105,24.30059433,24.08629227,25.10372925,23.97267151
4/20/2018,11:04:35 AM,621,59.459,23.84629059,24.28800011,24.02318382,25.0537014,23.94740677
4/20/2018,11:04:35 AM,891,59.729,23.80834961,24.28800011,24.06105423,25.04118919,23.92213631
4/20/2018,11:04:36 AM,162,60,23.80834961,24.30059433,23.99793053,25.04118919,23.96004105
4/20/2018,11:04:36 AM,432,60.27,23.87157822,24.38871765,24.08629227,25.09122467,23.98530197
4/20/2018,11:04:36 AM,972,60.81,23.92213631,24.41388321,24.12413979,25.14123535,24.0484314
4/20/2018,11:04:37 AM,243,61.081,23.85893631,24.40130234,24.11152649,25.15373421,24.02318382
4/20/2018,11:04:37 AM,513,61.351,23.87157822,24.38871765,24.08629227,25.12873459,23.98530197
4/20/2018,11:04:37 AM,783,61.621,23.93477249,24.40130234,24.11152649,25.15373421,23.99793053
4/20/2018,11:04:38 AM,54,61.892,23.93477249,24.35095978,24.09890938,25.12873459,24.02318382
4/20/2018,11:04:38 AM,324,62.162,23.96004105,24.38871765,24.13675308,25.16623306,24.01055908
4/20/2018,11:04:38 AM,594,62.432,23.87157822,24.37613297,24.09890938,25.12873459,23.94740677
4/20/2018,11:04:38 AM,864,62.702,23.90950012,24.38871765,24.08629227,25.12873459,24.01055908
4/20/2018,11:04:39 AM,405,63.243,23.93477249,24.42646408,24.14936447,25.17873001,24.06105423
4/20/2018,11:04:39 AM,675,63.513,23.87157822,24.4516201,24.11152649,25.14123535,24.01055908
4/20/2018,11:04:39 AM,945,63.783,23.96004105,24.47677231,24.14936447,25.21621132,24.02318382
4/20/2018,11:04:40 AM,216,64.054,23.97267151,24.42646408,24.14936447,25.20371819,24.02318382
4/20/2018,11:04:40 AM,486,64.324,23.90950012,24.41388321,24.16197586,25.17873001,24.0484314
4/20/2018,11:04:40 AM,756,64.594,23.89686012,24.42646408,24.13675308,25.20371819,24.01055908
4/20/2018,11:04:41 AM,297,65.135,23.82099724,24.28800011,24.06105423,25.07871819,23.90950012
4/20/2018,11:04:41 AM,567,65.405,23.82099724,24.28800011,24.0484314,25.10372925,23.96004105
4/20/2018,11:04:41 AM,837,65.675,23.89686012,24.37613297,24.09890938,25.11623192,24.03580856
4/20/2018,11:04:42 AM,108,65.946,23.75774002,24.23760796,23.92213631,25.00365067,23.89686012
4/20/2018,11:04:42 AM,378,66.216,23.79569817,24.28800011,23.99793053,25.02867889,23.94740677
4/20/2018,11:04:42 AM,918,66.756,23.77039337,24.2502079,23.98530197,25.00365067,23.83364487
4/20/2018,11:04:43 AM,189,67.027,23.79569817,24.31318855,23.99793053,25.0537014,23.97267151
4/20/2018,11:04:43 AM,459,67.297,23.75774002,24.27540398,23.96004105,24.99113464,23.90950012
4/20/2018,11:04:43 AM,729,67.567,23.71976662,24.17458534,23.93477249,24.9410553,23.84629059
4/20/2018,11:04:43 AM,999,67.837,23.78304672,24.23760796,23.94740677,24.97861671,23.85893631
4/20/2018,11:04:44 AM,270,68.108,23.73242569,24.19979858,23.96004105,24.95357704,23.80834961
4/20/2018,11:04:44 AM,540,68.378,23.69444466,24.18719101,23.90950012,24.99113464,23.77039337
4/20/2018,11:04:44 AM,810,68.648,23.71976662,24.19979858,23.88422012,24.96609688,23.77039337
4/20/2018,11:04:45 AM,351,69.189,23.71976662,24.12413979,23.84629059,24.90348244,23.80834961
4/20/2018,11:04:45 AM,621,69.459,23.71976662,24.13675308,23.89686012,24.9410553,23.87157822
4/20/2018,11:04:45 AM,891,69.729,23.74508286,24.17458534,23.93477249,24.95357704,23.79569817
4/20/2018,11:04:46 AM,162,70,23.88422012,24.30059433,24.0484314,25.09122467,23.93477249
