Plot 1 FLIR USB Video,,,,,,
,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1
Reflected temperature,,,,19.9999939,19.9999939,19.9999939
Location X,,,,50,166,282
Location Y,,,,128,128,130
Size X,,,,,,
Size Y,,,,,,
Surface (pixels),,,,,,
,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value
5/3/2018,10:05:51 AM,837,74.324,27.13610649,28.55215836,31.80661964
5/3/2018,10:05:52 AM,108,74.595,27.19750214,28.55215836,31.80661964
5/3/2018,10:05:52 AM,378,74.865,27.12382317,28.46719742,31.74759674
5/3/2018,10:05:52 AM,648,75.135,27.22205353,28.55215836,31.77120972
5/3/2018,10:05:52 AM,918,75.405,27.25886726,28.6006794,31.79481697
5/3/2018,10:05:53 AM,189,75.676,27.23432541,28.6006794,31.86561203
5/3/2018,10:05:53 AM,729,76.216,27.18522644,28.5400238,31.7830143
5/3/2018,10:05:53 AM,999,76.486,27.17294884,28.55215836,31.72397995
5/3/2018,10:05:54 AM,270,76.757,27.23432541,28.57642174,31.83021927
5/3/2018,10:05:54 AM,540,77.027,27.19750214,28.57642174,31.84201813
5/3/2018,10:05:54 AM,810,77.297,27.17294884,28.55215836,31.79481697
5/3/2018,10:05:55 AM,81,77.568,27.09925079,28.50361633,31.7830143
5/3/2018,10:05:55 AM,351,77.838,27.16066933,28.5157547,31.80661964
5/3/2018,10:05:55 AM,621,78.108,27.16066933,28.5400238,31.81842041
5/3/2018,10:05:56 AM,162,78.649,27.09925079,28.52788925,31.71216965
5/3/2018,10:05:56 AM,432,78.919,27.16066933,28.58855057,31.81842041
5/3/2018,10:05:56 AM,702,79.189,27.08696365,28.52788925,31.73578835
5/3/2018,10:05:56 AM,972,79.459,27.19750214,28.57642174,31.85381699
5/3/2018,10:05:57 AM,243,79.73,27.22205353,28.6006794,31.85381699
5/3/2018,10:05:57 AM,513,80,27.23432541,28.61280632,31.85381699
5/3/2018,10:05:57 AM,783,80.27,27.23432541,28.66130257,31.94815445
5/3/2018,10:05:58 AM,324,80.811,27.23432541,28.64917946,31.93636513
5/3/2018,10:05:58 AM,594,81.081,27.20977783,28.62493324,31.91278648
5/3/2018,10:05:58 AM,864,81.351,27.18522644,28.58855057,31.84201813
5/3/2018,10:05:59 AM,135,81.622,27.12382317,28.55215836,31.85381699
5/3/2018,10:05:59 AM,405,81.892,27.18522644,28.62493324,31.90099335
5/3/2018,10:05:59 AM,945,82.432,27.23432541,28.62493324,31.86561203
5/3/2018,10:06:00 AM,216,82.703,27.18522644,28.63705635,31.90099335
5/3/2018,10:06:00 AM,486,82.973,27.23432541,28.73400879,32.01885605
5/3/2018,10:06:00 AM,756,83.243,27.19750214,28.68554306,32.00707626
5/3/2018,10:06:01 AM,27,83.514,27.23432541,28.68554306,31.94815445
5/3/2018,10:06:01 AM,297,83.784,27.20977783,28.67342377,31.93636513
5/3/2018,10:06:01 AM,567,84.054,27.20977783,28.68554306,31.92457581
5/3/2018,10:06:01 AM,837,84.324,27.23432541,28.70977783,31.97172546
5/3/2018,10:06:02 AM,108,84.595,27.20977783,28.70977783,31.93636513
5/3/2018,10:06:02 AM,648,85.135,27.24659729,28.70977783,31.93636513
5/3/2018,10:06:02 AM,918,85.405,27.20977783,28.66130257,31.93636513
5/3/2018,10:06:03 AM,189,85.676,27.20977783,28.67342377,31.98351097
5/3/2018,10:06:03 AM,459,85.946,27.18522644,28.63705635,31.95993996
5/3/2018,10:06:03 AM,729,86.216,27.17294884,28.67342377,31.94815445
5/3/2018,10:06:03 AM,999,86.486,27.19750214,28.69766045,31.97172546
5/3/2018,10:06:04 AM,270,86.757,27.22205353,28.69766045,31.92457581
5/3/2018,10:06:04 AM,810,87.297,27.20977783,28.66130257,32.00707626
5/3/2018,10:06:05 AM,81,87.568,27.23432541,28.69766045,31.98351097
5/3/2018,10:06:05 AM,351,87.838,27.24659729,28.73400879,32.01885605
5/3/2018,10:06:05 AM,621,88.108,27.24659729,28.78245354,32.04241562
5/3/2018,10:06:05 AM,891,88.378,27.25886726,28.75823402,32.03063965
5/3/2018,10:06:06 AM,162,88.649,27.27113724,28.77034378,32.06597137
5/3/2018,10:06:06 AM,702,89.189,27.24659729,28.74612236,32.03063965
5/3/2018,10:06:06 AM,972,89.459,27.25886726,28.77034378,32.06597137
5/3/2018,10:06:07 AM,243,89.73,27.36924171,28.81877518,32.24247742
5/3/2018,10:06:07 AM,513,90,27.38149834,28.86718369,32.23072052
5/3/2018,10:06:07 AM,783,90.27,27.38149834,28.89138222,32.21895981
5/3/2018,10:06:08 AM,324,90.811,27.44276428,28.96394348,32.289505
5/3/2018,10:06:08 AM,594,91.081,27.45501328,28.9518528,32.289505
5/3/2018,10:06:08 AM,864,91.351,27.36924171,28.93976212,32.27774811
5/3/2018,10:06:09 AM,135,91.622,27.40600777,28.91557503,32.24247742
5/3/2018,10:06:09 AM,405,91.892,27.36924171,28.89138222,32.21895981
5/3/2018,10:06:09 AM,675,92.162,27.35698318,28.89138222,32.24247742
5/3/2018,10:06:10 AM,216,92.703,27.34472275,28.85508347,32.23072052
5/3/2018,10:06:10 AM,486,92.973,27.34472275,28.87928391,32.2071991
5/3/2018,10:06:10 AM,756,93.243,27.36924171,28.86718369,32.23072052
5/3/2018,10:06:11 AM,27,93.514,27.41826248,28.91557503,32.27774811
5/3/2018,10:06:11 AM,297,93.784,27.45501328,28.90347862,32.31300735
5/3/2018,10:06:11 AM,837,94.324,27.44276428,28.91557503,32.3365097
5/3/2018,10:06:12 AM,108,94.595,27.43051338,28.92766953,32.3365097
5/3/2018,10:06:12 AM,378,94.865,27.5039978,28.98812103,32.36000443
5/3/2018,10:06:12 AM,648,95.135,27.57743454,29.07270241,32.46568298
5/3/2018,10:06:12 AM,918,95.405,27.57743454,29.09685707,32.51261902
5/3/2018,10:06:13 AM,459,95.946,27.62636757,29.14515114,32.52434921
5/3/2018,10:06:13 AM,729,96.216,27.61413574,29.12100792,32.50088501
5/3/2018,10:06:13 AM,999,96.486,27.58967018,29.1089325,32.44220734
5/3/2018,10:06:14 AM,270,96.757,27.51624107,29.07270241,32.39524078
5/3/2018,10:06:14 AM,540,97.027,27.61413574,29.09685707,32.45394516
5/3/2018,10:06:14 AM,810,97.297,27.61413574,29.12100792,32.51261902
5/3/2018,10:06:15 AM,81,97.568,27.61413574,29.14515114,32.5478096
5/3/2018,10:06:15 AM,621,98.108,27.6508255,29.20549202,32.5478096
5/3/2018,10:06:15 AM,891,98.378,27.63859749,29.19342613,32.57126617
5/3/2018,10:06:16 AM,162,98.649,27.66305351,29.25374222,32.62988281
5/3/2018,10:06:16 AM,432,98.919,27.6508255,29.20549202,32.66503906
5/3/2018,10:06:16 AM,702,99.189,27.63859749,29.20549202,32.60643768
5/3/2018,10:06:16 AM,972,99.459,27.67527962,29.24168015,32.60643768
5/3/2018,10:06:17 AM,513,100,27.6997261,29.27785873,32.66503906
