Plot 1 FLIR USB Video,,,,,,,,,,,
,,,,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value,Sp8.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1,1,1,1
Reflected temperature,,,,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,,31,285,284,166,34,120,31,287
Location Y,,,,115,74,119,115,68,114,175,178
Size X,,,,,,,,,,,
Size Y,,,,,,,,,,,
Surface (pixels),,,,,,,,,,,
,,,,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value,Sp8.Value
4/24/2018,1:44:21 PM,162,43.514,36.49397278,31.39284706,31.81842041,34.50226212,40.64806366,35.06642914,38.00622559,32.21895981
4/24/2018,1:44:21 PM,432,43.784,36.45990372,31.03703308,31.27436066,34.52534103,40.70298004,35.19272232,38.00622559,31.97172546
4/24/2018,1:44:21 PM,702,44.054,36.55073166,31.08453751,31.39284706,34.52534103,40.64806366,35.2615509,38.02865982,31.92457581
4/24/2018,1:44:21 PM,972,44.324,36.45990372,31.10828209,31.34546661,34.44454956,40.72493744,35.28448868,38.0174408,31.92457581
4/24/2018,1:44:22 PM,243,44.595,36.2211647,31.17948723,31.38100433,34.31747818,40.626091,35.28448868,37.88277435,31.95993996
4/24/2018,1:44:22 PM,783,45.135,40.75786972,30.77542305,31.5585289,33.84268188,36.09592819,35.33034515,36.66417313,31.61764526
4/24/2018,1:44:23 PM,53,45.405,41.16334152,30.64439964,31.48755074,33.71497726,35.87930679,35.49071121,37.37647247,31.45204544
4/24/2018,1:44:23 PM,324,45.676,41.283638,30.71588516,31.52304459,33.73820877,35.87930679,35.53649139,37.36520004,31.60582352
4/24/2018,1:44:23 PM,594,45.946,40.58213425,31.41653061,31.35731316,34.23654556,37.55672836,35.41055679,36.11870575,31.49938393
4/24/2018,1:44:24 PM,134,46.486,41.25084305,35.2615509,35.4678154,33.42424393,40.60411453,31.64128304,38.05108643,35.22714233
4/24/2018,1:44:24 PM,405,46.757,41.34920883,35.75371933,38.77783966,32.68846893,40.5711441,31.17948723,37.99500656,36.30079651
4/24/2018,1:44:24 PM,675,47.027,41.41474533,38.64398575,37.78167725,32.61816025,40.5711441,31.13202095,38.06229782,36.43718719
4/24/2018,1:44:24 PM,945,47.297,41.49116135,35.90212631,38.52116013,32.68846893,40.626091,31.19135094,38.12955475,36.73218918
4/24/2018,1:44:25 PM,216,47.568,41.46933365,37.63550568,37.22982407,32.66503906,40.6700325,31.16762352,38.08472061,37.56798553
4/24/2018,1:44:25 PM,756,48.108,40.16378784,32.57126617,32.46568298,34.53688049,40.64806366,35.21566772,38.12955475,32.71189499
4/24/2018,1:44:26 PM,26,48.378,41.58934784,31.23879242,31.95993996,34.0281868,40.6700325,35.69659042,38.03987122,32.25423813
4/24/2018,1:44:26 PM,297,48.649,41.61115265,36.82281494,35.31888199,32.85236359,40.5711441,31.28621483,38.12955475,35.14681244
4/24/2018,1:44:26 PM,837,49.189,41.62205887,32.38349915,32.50088501,35.8336525,40.56015015,31.28621483,38.08472061,32.55953598
4/24/2018,1:44:27 PM,107,49.459,41.68745422,31.44020844,32.11306381,34.53688049,40.63707733,32.74702835,38.09593201,32.3365097
