Plot 1 FLIR USB Video,,,,,,,,,,
,,,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1,1,1
Reflected temperature,,,,23.9999939,23.9999939,23.9999939,23.9999939,23.9999939,23.9999939,23.9999939
Location X,,,,293,296,295,20,22,19,78
Location Y,,,,60,111,169,56,114,167,117
Size X,,,,,,,,,,
Size Y,,,,,,,,,,
Surface (pixels),,,,,,,,,,
,,,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value
4/24/2018,5:10:09 PM,269,46.756,31.25352287,31.14683533,31.05192184,30.0028019,30.647686,29.31822586,31.00443649
4/24/2018,5:10:09 PM,540,47.027,31.26537132,31.2179718,31.08752441,30.07463074,30.71912193,29.35435677,31.02818108
4/24/2018,5:10:10 PM,80,47.567,31.20611954,31.15869522,31.0756588,30.05069351,30.65959549,29.28208351,30.99256325
4/24/2018,5:10:10 PM,351,47.838,31.18240929,31.11125183,31.00443649,30.05069351,30.69531441,29.34231377,30.98068619
4/24/2018,5:10:10 PM,621,48.108,31.13497543,31.08752441,30.99256325,30.01477623,30.647686,29.34231377,30.98068619
4/24/2018,5:10:10 PM,891,48.378,31.17055321,31.17055321,30.99256325,30.06266212,30.74292564,29.34231377,30.96881104
4/24/2018,5:10:11 PM,161,48.648,31.18240929,31.13497543,31.00443649,30.05069351,30.647686,29.34231377,30.9450531
4/24/2018,5:10:11 PM,432,48.919,31.14683533,31.09938812,30.96881104,30.05069351,30.70722008,29.36639786,30.95693207
4/24/2018,5:10:11 PM,702,49.189,31.12311554,31.0756588,30.89752388,29.97884941,30.62386513,29.27003479,30.9450531
4/24/2018,5:10:11 PM,972,49.459,31.14683533,31.09938812,30.9450531,30.02675056,30.62386513,29.31822586,30.93317223
4/24/2018,5:10:12 PM,513,50,31.08752441,31.05192184,30.90940857,30.0028019,30.63577652,29.33027077,30.93317223
4/24/2018,5:10:12 PM,783,50.27,31.11125183,31.06379128,30.9450531,30.08659744,30.67150307,29.36639786,30.9450531
4/24/2018,5:10:13 PM,53,50.54,31.08752441,31.02818108,30.92129135,29.90696335,30.58812332,29.27003479,30.88563919
4/24/2018,5:10:13 PM,324,50.811,31.12311554,31.05192184,30.96881104,29.96687126,30.61195183,29.25798416,30.87375259
4/24/2018,5:10:13 PM,594,51.081,31.09938812,31.01630974,30.89752388,29.8710022,30.55237007,29.23387718,30.861866
4/24/2018,5:10:13 PM,864,51.351,31.09938812,31.01630974,30.93317223,29.90696335,30.54045105,29.20976639,30.87375259
4/24/2018,5:10:14 PM,134,51.621,31.17055321,31.08752441,30.98068619,29.94291115,30.61195183,29.24593163,30.89752388
4/24/2018,5:10:14 PM,675,52.162,31.12311554,31.09938812,30.92129135,29.94291115,30.60003853,29.30617905,30.90940857
4/24/2018,5:10:14 PM,945,52.432,31.13497543,31.11125183,30.98068619,30.0028019,30.62386513,29.31822586,30.95693207
4/24/2018,5:10:15 PM,215,52.702,31.15869522,31.13497543,31.01630974,30.02675056,30.61195183,29.31822586,30.99256325
4/24/2018,5:10:15 PM,486,52.973,31.12311554,31.0756588,30.98068619,29.96687126,30.63577652,29.30617905,30.95693207
4/24/2018,5:10:15 PM,756,53.243,31.05192184,31.01630974,30.87375259,29.94291115,30.56428909,29.20976639,30.84997749
4/24/2018,5:10:16 PM,296,53.783,31.05192184,30.99256325,30.84997749,29.84702301,30.50468445,29.17359161,30.77861977
4/24/2018,5:10:16 PM,567,54.054,31.09938812,31.01630974,30.9450531,29.96687126,30.57620621,29.24593163,30.87375259
4/24/2018,5:10:16 PM,837,54.324,31.0756588,31.00443649,30.861866,29.84702301,30.51660728,29.19771004,30.81430435
4/24/2018,5:10:17 PM,107,54.594,31.04005241,30.9450531,30.84997749,29.83503151,30.48083305,29.1374054,30.77861977
4/24/2018,5:10:17 PM,648,55.135,31.00443649,31.00443649,30.83808708,29.8230381,30.50468445,29.12534142,30.7905159
4/24/2018,5:10:17 PM,918,55.405,31.0756588,30.99256325,30.81430435,29.83503151,30.4927597,29.18565178,30.76672363
4/24/2018,5:10:18 PM,188,55.675,31.02818108,30.99256325,30.83808708,29.79904938,30.52853012,29.16153145,30.84997749
4/24/2018,5:10:18 PM,459,55.946,31.05192184,30.96881104,30.84997749,29.8710022,30.50468445,29.17359161,30.81430435
4/24/2018,5:10:18 PM,729,56.216,31.06379128,31.00443649,30.861866,29.91894722,30.51660728,29.23387718,30.83808708
4/24/2018,5:10:19 PM,269,56.756,31.0756588,31.01630974,30.83808708,29.90696335,30.61195183,29.24593163,30.861866
4/24/2018,5:10:19 PM,540,57.027,31.11125183,31.12311554,30.93317223,29.91894722,30.647686,29.29413223,30.92129135
4/24/2018,5:10:19 PM,810,57.297,31.12311554,31.09938812,30.93317223,29.97884941,30.647686,29.31822586,30.93317223
