Plot 1 FLIR USB Video,,,,,,
,,,,,,
,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value
Emissivity,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,1,1,1,1
Reflected temperature,,,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,32,287,288,157
Location Y,,,110,53,106,110
Size X,,,,,,
Size Y,,,,,,
Surface (pixels),,,,,,
,,,,,,
Date,Time,Time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value
4/18/2018,5:07:05 PM,17:07:05,37.88277435,34.51380157,34.73284912,33.80786514
4/18/2018,5:07:05 PM,17:07:05,37.83785248,34.61761093,34.74436951,33.78465271
4/18/2018,5:07:05 PM,17:07:05,37.83785248,34.62913895,34.77891541,33.81947327
4/18/2018,5:07:06 PM,17:07:06,37.83785248,34.61761093,34.77891541,33.81947327
4/18/2018,5:07:06 PM,17:07:06,37.81538773,34.52534103,34.64066696,33.81947327
4/18/2018,5:07:07 PM,17:07:07,37.83785248,34.53688049,34.66371918,33.85428238
4/18/2018,5:07:07 PM,17:07:07,37.82661819,34.53688049,34.66371918,33.84268188
4/18/2018,5:07:07 PM,17:07:07,37.80414963,34.49072266,34.54841614,33.83107758
4/18/2018,5:07:07 PM,17:07:07,37.75920105,34.44454956,34.50226212,33.78465271
4/18/2018,5:07:08 PM,17:07:08,37.7142334,34.47917938,34.55995178,33.79626083
4/18/2018,5:07:08 PM,17:07:08,37.70299149,34.43300247,34.53688049,33.76143265
4/18/2018,5:07:08 PM,17:07:08,37.70299149,34.45609283,34.54841614,33.76143265
4/18/2018,5:07:09 PM,17:07:09,37.73672104,34.42145538,34.57148361,33.72659302
4/18/2018,5:07:09 PM,17:07:09,37.63550568,34.39835739,34.47917938,33.71497726
4/18/2018,5:07:09 PM,17:07:09,37.6692543,34.42145538,34.46763611,33.72659302
4/18/2018,5:07:10 PM,17:07:10,37.68050003,34.46763611,34.50226212,33.76143265
4/18/2018,5:07:10 PM,17:07:10,37.73672104,34.51380157,34.51380157,33.79626083
4/18/2018,5:07:10 PM,17:07:10,37.6692543,34.39835739,34.43300247,33.74982071
4/18/2018,5:07:11 PM,17:07:11,37.70299149,34.43300247,34.52534103,33.73820877
4/18/2018,5:07:11 PM,17:07:11,37.69174576,34.40990448,34.47917938,33.76143265
4/18/2018,5:07:11 PM,17:07:11,37.64675522,34.44454956,34.49072266,33.73820877
4/18/2018,5:07:12 PM,17:07:12,37.65800476,34.47917938,34.47917938,33.73820877
4/18/2018,5:07:12 PM,17:07:12,37.63550568,34.37525177,34.44454956,33.74982071
4/18/2018,5:07:12 PM,17:07:12,37.6692543,34.40990448,34.51380157,33.74982071
